user_id,store_name,id,agent_id,icon_url,stage,create_at,update_at
1448,SunnyLoungeBar,333,2010,https://buket_name.s3.ap-northeast-1.amazonaws.com/son.jpg,PROSPECT,2024-06-08T05:55:01.826072,2024-11-11T01:56:18.832791
1366,SunnyLoungeBakery,705,2701,https://buket_name.s3.ap-northeast-1.amazonaws.com/amount.jpg,NEW,2024-05-29T17:54:12.826091,2024-01-31T04:46:11.832827
1973,RusticGardenCafe,145,2148,https://buket_name.s3.ap-northeast-1.amazonaws.com/much.jpeg,EXISTING,2024-06-08T07:47:54.826097,2024-07-18T18:17:12.832854
1284,GoldenPlateGrill,414,2353,https://buket_name.s3.ap-northeast-1.amazonaws.com/interview.jpg,EXISTING,2024-10-19T18:35:25.826102,2024-05-24T17:11:28.832878
1728,RusticHouseBistro,756,2543,https://buket_name.s3.ap-northeast-1.amazonaws.com/me.jpeg,NEW,2024-02-11T13:57:24.826106,2024-05-02T02:18:52.832901
1274,DeliciousPlateCafe,402,2143,https://buket_name.s3.ap-northeast-1.amazonaws.com/past.jpeg,EXISTING,2024-08-20T13:26:57.826111,2024-01-30T18:39:12.832924
1082,GoldenGardenKitchen,128,2119,https://buket_name.s3.ap-northeast-1.amazonaws.com/mother.gif,NEW,2024-11-07T18:56:58.826116,2024-01-07T02:50:59.832948
1228,RusticHouseCafe,484,2385,https://buket_name.s3.ap-northeast-1.amazonaws.com/father.gif,PROSPECT,2024-05-06T03:25:00.826121,2024-03-21T18:59:52.832972
1958,CharmingTableCafe,176,2265,https://buket_name.s3.ap-northeast-1.amazonaws.com/someone.gif,NEW,2024-03-17T08:28:26.826125,2024-07-29T08:38:24.832995
1493,RusticTableBistro,400,2753,https://buket_name.s3.ap-northeast-1.amazonaws.com/present.bmp,PROSPECT,2024-11-16T13:34:55.826130,2024-01-01T00:09:14.833018
1086,SpicyCornerGrill,942,2836,https://buket_name.s3.ap-northeast-1.amazonaws.com/where.jpeg,NEW,2024-04-23T15:34:09.826135,2024-05-27T08:16:22.833041
1964,SunnyGardenBistro,823,2305,https://buket_name.s3.ap-northeast-1.amazonaws.com/season.png,EXISTING,2024-10-15T01:33:57.826139,2024-08-17T12:06:03.833065
1371,CharmingGardenBar,320,2763,https://buket_name.s3.ap-northeast-1.amazonaws.com/week.png,PROSPECT,2024-05-31T13:50:38.826144,2024-11-24T05:40:13.833091
1777,CozyHouseBakery,59,2059,https://buket_name.s3.ap-northeast-1.amazonaws.com/force.gif,PROSPECT,2023-12-30T23:36:18.826148,2024-04-16T05:42:36.833115
1956,DeliciousTableBar,637,2934,https://buket_name.s3.ap-northeast-1.amazonaws.com/show.bmp,EXISTING,2024-01-08T04:36:02.826153,2024-05-03T21:49:58.833140
1179,GoldenSpotBar,822,2032,https://buket_name.s3.ap-northeast-1.amazonaws.com/way.bmp,EXISTING,2024-04-04T00:45:02.826157,2024-03-09T23:59:32.833163
1911,SunnyCornerDiner,601,2525,https://buket_name.s3.ap-northeast-1.amazonaws.com/give.tiff,NEW,2023-12-13T15:04:14.826162,2024-04-19T15:49:04.833195
